Q,Si-Si,Total,Si-Si_smoothed,Total_smoothed
Å⁻¹,arbitrary units,arbitrary units,arbitrary units,arbitrary units
Structure Factor S(Q),Si-Si,Total,Si-Si_smoothed,Total_smoothed
8.55000,0.00000,0.00000,1.64969,1.64969
8.57000,0.00000,0.00000,1.95860,1.95860
8.59000,0.00000,0.00000,2.25116,2.25116
8.61000,0.00000,0.00000,2.49963,2.49963
8.63000,0.00000,0.00000,2.68170,2.68170
8.65000,33.23077,33.23077,2.78473,2.78473
8.67000,0.00000,0.00000,2.80860,2.80860
8.69000,0.00000,0.00000,2.76575,2.76575
8.71000,0.00000,0.00000,2.67986,2.67986
8.73000,0.00000,0.00000,2.57886,2.57886
8.75000,0.00000,0.00000,2.49031,2.49031
8.77000,0.00000,0.00000,2.43462,2.43462
8.79000,0.00000,0.00000,2.42064,2.42064
8.81000,0.00000,0.00000,2.44384,2.44384
8.83000,0.00000,0.00000,2.48781,2.48781
8.85000,0.00000,0.00000,2.52954,2.52954
8.87000,0.00000,0.00000,2.54199,2.54199
8.89000,29.45455,29.45455,2.50436,2.50436
8.91000,0.00000,0.00000,2.40461,2.40461
8.93000,0.00000,0.00000,2.24274,2.24274
8.95000,0.00000,0.00000,2.03082,2.03082
8.97000,0.00000,0.00000,1.79085,1.79085
8.99000,0.00000,0.00000,1.55104,1.55104
9.01000,0.00000,0.00000,1.34154,1.34154
9.03000,0.00000,0.00000,1.19052,1.19052
9.05000,0.00000,0.00000,1.12084,1.12084
9.07000,0.00000,0.00000,1.14743,1.14743
9.09000,0.00000,0.00000,1.27683,1.27683
9.11000,0.00000,0.00000,1.50346,1.50346
9.13000,0.00000,0.00000,1.81133,1.81133
9.15000,0.00000,0.00000,2.17376,2.17376
9.17000,0.00000,0.00000,2.55530,2.55530
9.19000,0.00000,0.00000,2.91534,2.91534
9.21000,0.00000,0.00000,3.21329,3.21329
9.23000,0.00000,0.00000,3.41446,3.41446
9.25000,43.20000,43.20000,3.49568,3.49568
9.27000,0.00000,0.00000,3.44907,3.44907
9.29000,0.00000,0.00000,3.28309,3.28309
9.31000,0.00000,0.00000,3.02012,3.02012
9.33000,0.00000,0.00000,2.69329,2.69329
9.35000,0.00000,0.00000,2.33745,2.33745
9.37000,0.00000,0.00000,1.98529,1.98529
9.39000,0.00000,0.00000,1.66179,1.66179
9.41000,0.00000,0.00000,1.38250,1.38250
9.43000,0.00000,0.00000,1.15161,1.15161
9.45000,0.00000,0.00000,0.96655,0.96655
9.47000,6.35294,6.35294,0.81981,0.81981
9.49000,0.00000,0.00000,0.70273,0.70273
9.51000,0.00000,0.00000,0.60828,0.60828
9.53000,0.00000,0.00000,0.53284,0.53284
9.55000,0.00000,0.00000,0.47680,0.47680
9.57000,0.00000,0.00000,0.44415,0.44415
9.59000,0.00000,0.00000,0.44129,0.44129
9.61000,0.00000,0.00000,0.47568,0.47568
9.63000,0.00000,0.00000,0.55330,0.55330
9.65000,0.00000,0.00000,0.67764,0.67764
9.67000,0.00000,0.00000,0.84709,0.84709
9.69000,0.00000,0.00000,1.05617,1.05617
9.71000,0.00000,0.00000,1.29105,1.29105
9.73000,0.00000,0.00000,1.53368,1.53368
9.75000,0.00000,0.00000,1.76261,1.76261
9.77000,0.00000,0.00000,1.95612,1.95612
9.79000,0.00000,0.00000,2.09569,2.09569
9.81000,25.92000,25.92000,2.16932,2.16932
9.83000,0.00000,0.00000,2.17361,2.17361
9.85000,0.00000,0.00000,2.11410,2.11410
9.87000,0.00000,0.00000,2.00377,2.00377
9.89000,0.00000,0.00000,1.85990,1.85990
9.91000,0.00000,0.00000,1.70061,1.70061
9.93000,0.00000,0.00000,1.54089,1.54089
9.95000,0.00000,0.00000,1.39120,1.39120
9.97000,0.00000,0.00000,1.25526,1.25526
9.99000,0.00000,0.00000,1.13277,1.13277
10.01000,9.21951,9.21951,1.02038,1.02038
10.03000,0.00000,0.00000,0.91434,0.91434
10.05000,0.00000,0.00000,0.81259,0.81259
10.07000,0.00000,0.00000,0.71596,0.71596
10.09000,0.00000,0.00000,0.62857,0.62857
10.11000,0.00000,0.00000,0.55712,0.55712
10.13000,0.00000,0.00000,0.50976,0.50976
10.15000,0.00000,0.00000,0.49485,0.49485
10.17000,0.00000,0.00000,0.51848,0.51848
10.19000,0.00000,0.00000,0.58420,0.58420
10.21000,0.00000,0.00000,0.69125,0.69125
10.23000,0.00000,0.00000,0.83379,0.83379
10.25000,0.00000,0.00000,1.00225,1.00225
10.27000,0.00000,0.00000,1.18179,1.18179
10.29000,0.00000,0.00000,1.35591,1.35591
10.31000,0.00000,0.00000,1.50828,1.50828
10.33000,0.00000,0.00000,1.62533,1.62533
10.35000,19.63636,19.63636,1.69867,1.69867
10.37000,0.00000,0.00000,1.72641,1.72641
10.39000,0.00000,0.00000,1.71311,1.71311
10.41000,0.00000,0.00000,1.66832,1.66832
10.43000,0.00000,0.00000,1.60381,1.60381
10.45000,0.00000,0.00000,1.53223,1.53223
10.47000,0.00000,0.00000,1.46046,1.46046
10.49000,0.00000,0.00000,1.39310,1.39310
10.51000,0.00000,0.00000,1.33016,1.33016
10.53000,0.00000,0.00000,1.26921,1.26921
10.55000,12.00000,12.00000,1.20784,1.20784
10.57000,0.00000,0.00000,1.14626,1.14626
10.59000,0.00000,0.00000,1.08920,1.08920
10.61000,0.00000,0.00000,1.04661,1.04661
10.63000,0.00000,0.00000,1.03308,1.03308
10.65000,0.00000,0.00000,1.06508,1.06508
10.67000,0.00000,0.00000,1.15847,1.15847
10.69000,0.00000,0.00000,1.32437,1.32437
10.71000,0.00000,0.00000,1.56575,1.56575
10.73000,0.00000,0.00000,1.87485,1.87485
10.75000,0.00000,0.00000,2.23222,2.23222
