Q,Bi-Bi,Total
14.97000,1.00164,1.00164
14.99000,1.00163,1.00163
15.01000,1.00159,1.00159
15.03000,1.00153,1.00153
15.05000,1.00144,1.00144
15.07000,1.00135,1.00135
15.09000,1.00126,1.00126
15.11000,1.00118,1.00118
15.13000,1.00113,1.00113
15.15000,1.00111,1.00111
15.17000,1.00113,1.00113
15.19000,1.00121,1.00121
15.21000,1.00133,1.00133
15.23000,1.00151,1.00151
15.25000,1.00174,1.00174
15.27000,1.00202,1.00202
15.29000,1.00234,1.00234
15.31000,1.00270,1.00270
15.33000,1.00308,1.00308
15.35000,1.00347,1.00347
15.37000,1.00386,1.00386
15.39000,1.00422,1.00422
15.41000,1.00455,1.00455
15.43000,1.00483,1.00483
15.45000,1.00503,1.00503
15.47000,1.00514,1.00514
15.49000,1.00515,1.00515
15.51000,1.00504,1.00504
15.53000,1.00481,1.00481
15.55000,1.00445,1.00445
15.57000,1.00394,1.00394
15.59000,1.00330,1.00330
15.61000,1.00252,1.00252
15.63000,1.00161,1.00161
15.65000,1.00059,1.00059
15.67000,0.99946,0.99946
15.69000,0.99824,0.99824
15.71000,0.99695,0.99695
15.73000,0.99561,0.99561
15.75000,0.99425,0.99425
15.77000,0.99290,0.99290
15.79000,0.99158,0.99158
15.81000,0.99031,0.99031
15.83000,0.98913,0.98913
15.85000,0.98805,0.98805
15.87000,0.98711,0.98711
15.89000,0.98631,0.98631
15.91000,0.98568,0.98568
15.93000,0.98524,0.98524
15.95000,0.98498,0.98498
15.97000,0.98493,0.98493
15.99000,0.98507,0.98507
16.01000,0.98542,0.98542
16.03000,0.98595,0.98595
16.05000,0.98667,0.98667
16.07000,0.98756,0.98756
16.09000,0.98860,0.98860
16.11000,0.98977,0.98977
16.13000,0.99106,0.99106
16.15000,0.99242,0.99242
16.17000,0.99385,0.99385
16.19000,0.99532,0.99532
16.21000,0.99680,0.99680
16.23000,0.99826,0.99826
16.25000,0.99968,0.99968
16.27000,1.00104,1.00104
16.29000,1.00233,1.00233
16.31000,1.00352,1.00352
16.33000,1.00460,1.00460
16.35000,1.00556,1.00556
16.37000,1.00640,1.00640
16.39000,1.00710,1.00710
16.41000,1.00768,1.00768
16.43000,1.00812,1.00812
16.45000,1.00844,1.00844
16.47000,1.00865,1.00865
16.49000,1.00875,1.00875
16.51000,1.00875,1.00875
16.53000,1.00867,1.00867
16.55000,1.00853,1.00853
16.57000,1.00833,1.00833
16.59000,1.00809,1.00809
16.61000,1.00782,1.00782
16.63000,1.00754,1.00754
16.65000,1.00725,1.00725
16.67000,1.00697,1.00697
16.69000,1.00671,1.00671
16.71000,1.00647,1.00647
16.73000,1.00625,1.00625
16.75000,1.00605,1.00605
16.77000,1.00589,1.00589
16.79000,1.00575,1.00575
16.81000,1.00563,1.00563
16.83000,1.00552,1.00552
16.85000,1.00543,1.00543
16.87000,1.00534,1.00534
16.89000,1.00525,1.00525
16.91000,1.00515,1.00515
16.93000,1.00503,1.00503
16.95000,1.00489,1.00489
16.97000,1.00472,1.00472
16.99000,1.00451,1.00451
17.01000,1.00426,1.00426
17.03000,1.00397,1.00397
17.05000,1.00364,1.00364
17.07000,1.00326,1.00326
17.09000,1.00284,1.00284
17.11000,1.00238,1.00238
17.13000,1.00188,1.00188
17.15000,1.00135,1.00135
17.17000,1.00080,1.00080
17.19000,1.00023,1.00023
17.21000,0.99965,0.99965
17.23000,0.99907,0.99907
17.25000,0.99850,0.99850
17.27000,0.99794,0.99794
17.29000,0.99740,0.99740
17.31000,0.99689,0.99689
17.33000,0.99641,0.99641
17.35000,0.99598,0.99598
17.37000,0.99559,0.99559
17.39000,0.99525,0.99525
17.41000,0.99496,0.99496
17.43000,0.99472,0.99472
17.45000,0.99454,0.99454
17.47000,0.99440,0.99440
17.49000,0.99432,0.99432
17.51000,0.99429,0.99429
17.53000,0.99430,0.99430
17.55000,0.99436,0.99436
17.57000,0.99445,0.99445
17.59000,0.99459,0.99459
17.61000,0.99475,0.99475
17.63000,0.99495,0.99495
17.65000,0.99516,0.99516
17.67000,0.99541,0.99541
17.69000,0.99567,0.99567
17.71000,0.99594,0.99594
17.73000,0.99623,0.99623
17.75000,0.99653,0.99653
17.77000,0.99685,0.99685
17.79000,0.99717,0.99717
17.81000,0.99749,0.99749
17.83000,0.99782,0.99782
17.85000,0.99816,0.99816
17.87000,0.99850,0.99850
17.89000,0.99883,0.99883
17.91000,0.99917,0.99917
17.93000,0.99950,0.99950
17.95000,0.99982,0.99982
17.97000,1.00013,1.00013
17.99000,1.00043,1.00043
18.01000,1.00070,1.00070
18.03000,1.00096,1.00096
18.05000,1.00119,1.00119
18.07000,1.00139,1.00139
18.09000,1.00155,1.00155
18.11000,1.00167,1.00167
18.13000,1.00176,1.00176
18.15000,1.00179,1.00179
18.17000,1.00179,1.00179
18.19000,1.00173,1.00173
18.21000,1.00162,1.00162
18.23000,1.00147,1.00147
18.25000,1.00127,1.00127
18.27000,1.00102,1.00102
18.29000,1.00074,1.00074
18.31000,1.00042,1.00042
18.33000,1.00007,1.00007
18.35000,0.99970,0.99970
18.37000,0.99932,0.99932
18.39000,0.99893,0.99893
18.41000,0.99855,0.99855
18.43000,0.99818,0.99818
18.45000,0.99783,0.99783
18.47000,0.99752,0.99752
