r,Bi-Bi,Total
10.07000,39.81482,39.81482
10.09000,38.42593,38.42593
10.11000,38.42593,38.42593
10.13000,34.25926,34.25926
10.15000,36.57407,36.57407
10.17000,47.68519,47.68519
10.19000,37.50000,37.50000
10.21000,46.75926,46.75926
10.23000,38.42593,38.42593
10.25000,42.12963,42.12963
10.27000,32.87037,32.87037
10.29000,37.96296,37.96296
10.31000,37.03704,37.03704
10.33000,36.57407,36.57407
10.35000,30.09259,30.09259
10.37000,31.94445,31.94445
10.39000,35.64815,35.64815
10.41000,35.18519,35.18519
10.43000,40.74074,40.74074
10.45000,38.88889,38.88889
10.47000,38.88889,38.88889
10.49000,49.07408,49.07408
10.51000,39.81482,39.81482
10.53000,48.14815,48.14815
10.55000,37.03704,37.03704
10.57000,42.59259,42.59259
10.59000,43.05556,43.05556
10.61000,40.27778,40.27778
10.63000,48.61111,48.61111
10.65000,37.50000,37.50000
10.67000,43.05556,43.05556
10.69000,42.12963,42.12963
10.71000,40.27778,40.27778
10.73000,42.12963,42.12963
10.75000,45.37037,45.37037
10.77000,42.59259,42.59259
10.79000,50.92593,50.92593
10.81000,46.75926,46.75926
10.83000,40.74074,40.74074
10.85000,42.59259,42.59259
10.87000,39.81482,39.81482
10.89000,47.22222,47.22222
10.91000,43.51852,43.51852
10.93000,36.57407,36.57407
10.95000,45.83333,45.83333
10.97000,51.38889,51.38889
10.99000,41.66667,41.66667
11.01000,40.74074,40.74074
11.03000,34.72222,34.72222
11.05000,36.11111,36.11111
11.07000,43.05556,43.05556
11.09000,45.83333,45.83333
11.11000,45.83333,45.83333
11.13000,48.61111,48.61111
11.15000,47.22222,47.22222
11.17000,34.72222,34.72222
11.19000,45.37037,45.37037
11.21000,42.59259,42.59259
11.23000,38.88889,38.88889
11.25000,46.29630,46.29630
11.27000,45.83333,45.83333
11.29000,43.98148,43.98148
11.31000,42.12963,42.12963
11.33000,44.44445,44.44445
11.35000,42.59259,42.59259
11.37000,45.83333,45.83333
11.39000,38.42593,38.42593
11.41000,52.77778,52.77778
11.43000,57.40741,57.40741
11.45000,46.29630,46.29630
11.47000,42.12963,42.12963
11.49000,46.29630,46.29630
11.51000,48.61111,48.61111
11.53000,40.74074,40.74074
11.55000,45.37037,45.37037
11.57000,49.53704,49.53704
11.59000,47.68519,47.68519
11.61000,52.77778,52.77778
11.63000,47.22222,47.22222
11.65000,55.55556,55.55556
11.67000,49.53704,49.53704
11.69000,50.46296,50.46296
11.71000,44.44445,44.44445
11.73000,50.92593,50.92593
11.75000,49.53704,49.53704
11.77000,51.85185,51.85185
11.79000,55.09259,55.09259
11.81000,42.59259,42.59259
11.83000,57.40741,57.40741
11.85000,46.75926,46.75926
11.87000,47.22222,47.22222
11.89000,43.98148,43.98148
11.91000,52.77778,52.77778
11.93000,57.87037,57.87037
11.95000,52.77778,52.77778
11.97000,48.14815,48.14815
11.99000,46.29630,46.29630
12.01000,50.92593,50.92593
12.03000,48.61111,48.61111
12.05000,54.16667,54.16667
12.07000,46.75926,46.75926
12.09000,53.70370,53.70370
12.11000,45.37037,45.37037
12.13000,49.07408,49.07408
12.15000,57.87037,57.87037
12.17000,55.55556,55.55556
12.19000,55.09259,55.09259
12.21000,58.79630,58.79630
12.23000,53.24074,53.24074
12.25000,56.94445,56.94445
12.27000,60.64815,60.64815
12.29000,56.48148,56.48148
12.31000,54.16667,54.16667
12.33000,58.33333,58.33333
12.35000,46.29630,46.29630
12.37000,52.31482,52.31482
12.39000,62.03704,62.03704
12.41000,51.38889,51.38889
12.43000,51.85185,51.85185
12.45000,48.14815,48.14815
12.47000,51.85185,51.85185
12.49000,53.70370,53.70370
12.51000,63.42593,63.42593
12.53000,63.42593,63.42593
12.55000,59.72222,59.72222
12.57000,60.18519,60.18519
12.59000,53.24074,53.24074
12.61000,55.09259,55.09259
12.63000,60.18519,60.18519
12.65000,63.42593,63.42593
12.67000,62.03704,62.03704
12.69000,58.33333,58.33333
12.71000,59.72222,59.72222
12.73000,53.70370,53.70370
12.75000,67.12963,67.12963
12.77000,70.37037,70.37037
12.79000,48.14815,48.14815
12.81000,66.20371,66.20371
12.83000,63.88889,63.88889
12.85000,52.77778,52.77778
12.87000,63.88889,63.88889
12.89000,58.33333,58.33333
12.91000,70.83333,70.83333
12.93000,56.01852,56.01852
12.95000,62.03704,62.03704
12.97000,71.75926,71.75926
12.99000,67.59259,67.59259
13.01000,61.11111,61.11111
13.03000,63.88889,63.88889
13.05000,56.48148,56.48148
13.07000,65.27778,65.27778
13.09000,62.50000,62.50000
13.11000,54.16667,54.16667
13.13000,62.03704,62.03704
13.15000,72.68519,72.68519
13.17000,56.01852,56.01852
13.19000,59.72222,59.72222
13.21000,64.81482,64.81482
13.23000,63.42593,63.42593
13.25000,66.66667,66.66667
13.27000,74.53704,74.53704
13.29000,62.96296,62.96296
13.31000,67.12963,67.12963
13.33000,76.38889,76.38889
13.35000,66.20371,66.20371
13.37000,69.90741,69.90741
13.39000,69.44445,69.44445
13.41000,67.12963,67.12963
13.43000,68.51852,68.51852
13.45000,70.83333,70.83333
13.47000,66.66667,66.66667
13.49000,65.27778,65.27778
13.51000,56.94445,56.94445
13.53000,68.05556,68.05556
13.55000,59.72222,59.72222
13.57000,61.11111,61.11111
13.59000,61.57408,61.57408
13.61000,65.27778,65.27778
13.63000,73.61111,73.61111
13.65000,72.22222,72.22222
13.67000,65.27778,65.27778
13.69000,68.05556,68.05556
13.71000,72.22222,72.22222
13.73000,68.05556,68.05556
13.75000,62.50000,62.50000
13.77000,72.22222,72.22222
13.79000,63.88889,63.88889
13.81000,70.83333,70.83333
13.83000,72.68519,72.68519
13.85000,67.12963,67.12963
13.87000,67.59259,67.59259
13.89000,75.92593,75.92593
13.91000,62.50000,62.50000
13.93000,71.29630,71.29630
13.95000,67.59259,67.59259
13.97000,70.83333,70.83333
13.99000,86.11111,86.11111
14.01000,73.14815,73.14815
14.03000,69.44445,69.44445
14.05000,73.14815,73.14815
14.07000,67.59259,67.59259
14.09000,60.18519,60.18519
14.11000,72.68519,72.68519
14.13000,76.85185,76.85185
14.15000,75.92593,75.92593
14.17000,82.40741,82.40741
14.19000,65.27778,65.27778
14.21000,71.29630,71.29630
14.23000,72.68519,72.68519
14.25000,75.46296,75.46296
14.27000,74.07408,74.07408
14.29000,72.68519,72.68519
14.31000,68.51852,68.51852
14.33000,70.83333,70.83333
14.35000,67.59259,67.59259
14.37000,68.05556,68.05556
14.39000,67.12963,67.12963
