r,Bi-Bi,Total
13.21000,0.10895,0.10895
13.23000,-0.01071,-0.01071
13.25000,0.21937,0.21937
13.27000,0.79762,0.79762
13.29000,-0.08898,-0.08898
13.31000,0.20968,0.20968
13.33000,0.88947,0.88947
13.35000,0.11068,0.11068
13.37000,0.37302,0.37302
13.39000,0.32337,0.32337
13.41000,0.13575,0.13575
13.43000,0.22445,0.22445
13.45000,0.38171,0.38171
13.47000,0.05729,0.05729
13.49000,-0.06026,-0.06026
13.51000,-0.69152,-0.69152
13.53000,0.11621,0.11621
13.55000,-0.51349,-0.51349
13.57000,-0.42490,-0.42490
13.59000,-0.40472,-0.40472
13.61000,-0.14651,-0.14651
13.63000,0.45058,0.45058
13.65000,0.33366,0.33366
13.67000,-0.18935,-0.18935
13.69000,-0.00069,-0.00069
13.71000,0.28871,0.28871
13.73000,-0.02970,-0.02970
13.75000,-0.44821,-0.44821
13.77000,0.24397,0.24397
13.79000,-0.37520,-0.37520
13.81000,0.11368,0.11368
13.83000,0.23290,0.23290
13.85000,-0.18308,-0.18308
13.87000,-0.16395,-0.16395
13.89000,0.42172,0.42172
13.91000,-0.55860,-0.55860
13.93000,0.05915,0.05915
13.95000,-0.22095,-0.22095
13.97000,-0.00317,-0.00317
13.99000,1.07436,1.07436
14.01000,0.13305,0.13305
14.03000,-0.14564,-0.14564
14.05000,0.10366,0.10366
14.07000,-0.30586,-0.30586
14.09000,-0.84566,-0.84566
14.11000,0.02692,0.02692
14.13000,0.30724,0.30724
14.15000,0.22685,0.22685
14.17000,0.66943,0.66943
14.19000,-0.55320,-0.55320
14.21000,-0.14339,-0.14339
14.23000,-0.06011,-0.06011
14.25000,0.12039,0.12039
14.27000,0.00838,0.00838
14.29000,-0.10334,-0.10334
14.31000,-0.40889,-0.40889
14.33000,-0.26130,-0.26130
14.35000,-0.50128,-0.50128
14.37000,-0.48289,-0.48289
14.39000,-0.56108,-0.56108
14.41000,-0.09290,-0.09290
14.43000,-0.29979,-0.29979
14.45000,-0.24981,-0.24981
14.47000,-0.23199,-0.23199
14.49000,0.36088,0.36088
14.51000,-0.00511,-0.00511
14.53000,-0.11521,-0.11521
14.55000,-0.57503,-0.57503
14.57000,0.45982,0.45982
14.59000,0.06390,0.06390
14.61000,0.20773,0.20773
14.63000,0.95241,0.95241
14.65000,-0.48548,-0.48548
14.67000,0.25807,0.25807
14.69000,-0.10347,-0.10347
14.71000,0.07099,0.07099
14.73000,0.81069,0.81069
14.75000,0.54398,0.54398
14.77000,0.34065,0.34065
14.79000,0.01265,0.01265
14.81000,0.21694,0.21694
14.83000,0.42065,0.42065
14.85000,0.24969,0.24969
14.87000,-0.51238,-0.51238
14.89000,-0.55730,-0.55730
14.91000,-0.41582,-0.41582
14.93000,0.12838,0.12838
14.95000,-0.22695,-0.22695
14.97000,-0.48857,-0.48857
14.99000,0.67119,0.67119
15.01000,-0.70135,-0.70135
15.03000,-0.71493,-0.71493
15.05000,-0.05174,-0.05174
15.07000,-0.52700,-0.52700
15.09000,0.31822,0.31822
15.11000,-0.27887,-0.27887
15.13000,-0.07882,-0.07882
15.15000,-0.33771,-0.33771
15.17000,-0.13815,-0.13815
15.19000,0.21325,0.21325
15.21000,0.59415,0.59415
15.23000,-0.15070,-0.15070
15.25000,-0.25610,-0.25610
15.27000,-0.02773,-0.02773
15.29000,0.04862,0.04862
15.31000,-0.11715,-0.11715
15.33000,-0.37312,-0.37312
15.35000,-0.29667,-0.29667
15.37000,-0.28068,-0.28068
15.39000,-0.14442,-0.14442
15.41000,0.53224,0.53224
15.43000,-0.32308,-0.32308
15.45000,-0.27725,-0.27725
15.47000,0.84580,0.84580
15.49000,-0.39521,-0.39521
15.51000,0.42656,0.42656
15.53000,0.08357,0.08357
15.55000,-0.19901,-0.19901
15.57000,-0.74849,-0.74849
15.59000,-0.37599,-0.37599
15.61000,-0.00447,-0.00447
15.63000,0.04025,0.04025
15.65000,0.17360,0.17360
15.67000,0.12931,0.12931
15.69000,-0.97712,-0.97712
15.71000,0.45360,0.45360
15.73000,0.85055,0.85055
15.75000,0.36464,0.36464
15.77000,0.32030,0.32030
15.79000,0.21742,0.21742
15.81000,0.34904,0.34904
15.83000,0.45107,0.45107
15.85000,0.34835,0.34835
15.87000,0.59594,0.59594
15.89000,0.52241,0.52241
15.91000,1.03101,1.03101
15.93000,-0.58323,-0.58323
15.95000,-0.65507,-0.65507
15.97000,-0.63978,-0.63978
15.99000,-0.85617,-0.85617
16.01000,-0.37802,-0.37802
16.03000,-0.13214,-0.13214
16.05000,-0.00227,-0.00227
16.07000,0.06964,0.06964
16.09000,0.80314,0.80314
16.11000,0.04045,0.04045
16.13000,0.19810,0.19810
16.15000,0.61333,0.61333
16.17000,0.02543,0.02543
16.19000,0.63999,0.63999
16.21000,-0.31781,-0.31781
16.23000,-0.18931,-0.18931
16.25000,-0.65944,-0.65944
16.27000,0.29432,0.29432
16.29000,-0.11844,-0.11844
16.31000,-0.10442,-0.10442
16.33000,0.22139,0.22139
16.35000,-0.16150,-0.16150
16.37000,0.27668,0.27668
16.39000,-0.33136,-0.33136
16.41000,0.67017,0.67017
16.43000,-0.10597,-0.10597
16.45000,0.32994,0.32994
16.47000,-0.10662,-0.10662
16.49000,0.07552,0.07552
16.51000,-0.33167,-0.33167
16.53000,-0.28978,-0.28978
